CMR,"carcinogenic, mutagenic and repro-toxic chemicals",ADDED BOTH. First as SYN and second as ELEM.
CMS,Convention on Migratory Species,ADDED BOTH. First as SYN and second as ELEM.
CO,carbon monoxide,NO ACTION. Both already exists.
CO2,carbon dioxide,NO ACTION. Both already exists.
COAST,Conservation and Sustainable use of Biodiversity in the Dalmatian Coast through Greening Coastal Development,ADDED BOTH. First as SYN and second as ELEM.
COD,chemical oxygen demand,NO ACTION. Both already exists.
COMEXT,Eurostat database on trade data,ADDED BOTH. First as SYN and second as ELEM.
COP,Conference of the Parties,ADDED BOTH. First as SYN and second as ELEM.
COR,Committee of the Regions,ADDED BOTH. First as SYN and second as ELEM.
Corine,Coordination of Information on the Environment,SECOND ADDED first alredy exists. If first is SYN the coresponding ELEM exists so the second will not be added.
CPR,continuous plankton recorder,ADDED BOTH. First as SYN and second as ELEM.
CRF,common reporting format,ADDED BOTH. First as SYN and second as ELEM.
CROSTAT,Central Bureau of Statistics of the Republic of Croatia,ADDED BOTH. First as SYN and second as ELEM.
CRU,Climatic Research Unit,ADDED BOTH. First as SYN and second as ELEM.
CSD,Commission on Sustainable Development,ADDED BOTH. First as SYN and second as ELEM.
CSI,core set of indicators,NO ACTION. Both already exists.
DALYs,disability-adjusted life years,ADDED BOTH. First as SYN and second as ELEM.
dB,decibel,NO ACTION. Both already exists.
DDE,dichlorodiphenyl dichloroethylene,ADDED BOTH. First as SYN and second as ELEM.
DDT,dichlorodiphenyl trichloroethane,SECOND ADDED first alredy exists. If first is SYN the coresponding ELEM exists so the second will not be added.
DEFRA,"Department for Environment Food and Rural Affairs, United Kingdom",ADDED BOTH. First as SYN and second as ELEM.
DEPA,Danish Environmental Protection Agency,ADDED BOTH. First as SYN and second as ELEM.
DESD,Decade of Education for Sustainable Development,ADDED BOTH. First as SYN and second as ELEM.
DEU,domestic extraction used,ADDED BOTH. First as SYN and second as ELEM.
DFT,"Department for Transport, United Kingdom",ADDED BOTH. First as SYN and second as ELEM.
DG,Directorate General,ADDED BOTH. First as SYN and second as ELEM.
DG SANCO,Directorate General for Health and Consumer Protection,ADDED BOTH. First as SYN and second as ELEM.
DKK,Danish krone,ADDED BOTH. First as SYN and second as ELEM.
dl,decilitre,ADDED BOTH. First as SYN and second as ELEM.
DMC,domestic material consumption,ADDED BOTH. First as SYN and second as ELEM.
DMI,direct material input,ADDED BOTH. First as SYN and second as ELEM.
DMI,Danish Meteorological Institute,NO ACTION (SYN case): SECOND ADDED first alredy exists. If first is SYN the coresponding ELEM exists so the second will not be added.
DOE,designated operational entity,ADDED BOTH. First as SYN and second as ELEM.
DPSIR,driving forces - pressures - state?- impact - response,SECOND ADDED first alredy exists. If first is SYN the coresponding ELEM exists so the second will not be added.
DTI,"Department of Trade and Industry, United Kingdom",ADDED BOTH. First as SYN and second as ELEM.
EAP,environment action programme,ADDED BOTH. First as SYN and second as ELEM.
EBCC,European Bird Census Council,ADDED BOTH. First as SYN and second as ELEM.
EBD,Environmental Burden of Disease,ADDED BOTH. First as SYN and second as ELEM.
EBRD,European Bank for Reconstruction and Development,ADDED BOTH. First as SYN and second as ELEM.
EC,European Commission,ADDED BOTH. First as SYN and second as ELEM.
ECB,European Chemicals Bureau,ADDED BOTH. First as SYN and second as ELEM.
ECCP,European Climate Change Programme,FIRST ADDED as SYN and SECOND already exists. If second is ELEM first relates to him and if second is SYN first related to his syn relation.
ECDC,European Centre for Disease Prevention and Control,ADDED BOTH. First as SYN and second as ELEM.
ECHO,European Commission Humanitarian Aid Office,ADDED BOTH. First as SYN and second as ELEM.
ECMT,European Conference of Ministers of Transport,ADDED BOTH. First as SYN and second as ELEM.
ECNC,European Centre for Nature Conservation,ADDED BOTH. First as SYN and second as ELEM.
ECOEHIS,Development of environmental health indicators for European Union countries,ADDED BOTH. First as SYN and second as ELEM.
ECP,ecoregional conservation plan,ADDED BOTH. First as SYN and second as ELEM.
EE,Eastern Europe,ADDED BOTH. First as SYN and second as ELEM.
EEA,European Environment Agency,NO ACTION. Both already exists.
EEA-32,"32 member countries of the EEA (EU-15 + EU-10 + EFTA-4 + Romania, Bulgaria and Turkey)",ADDED BOTH. First as SYN and second as ELEM.
EEB,European Environmental Bureau,ADDED BOTH. First as SYN and second as ELEM.
EEC,European Economic Community,ADDED BOTH. First as SYN and second as ELEM.
EECCA,"Eastern Europe, the Caucasus and Central Asia",ADDED BOTH. First as SYN and second as ELEM.
EEHC,European Environment and Health Committee,ADDED BOTH. First as SYN and second as ELEM.
EEK,Estonian kroon,ADDED BOTH. First as SYN and second as ELEM.
EEZ,exclusive economic zone,NO ACTION. Both already exists.
EfE,Environment for Europe,ADDED BOTH. First as SYN and second as ELEM.
EFNCP,European Forum on Nature Conservation and Pastoralism,ADDED BOTH. First as SYN and second as ELEM.
EFTA,European Free Trade Association,ADDED BOTH. First as SYN and second as ELEM.
EFTA,European Free Trade Association,NO ACTION. Both already exists.
EFTA-4,"Iceland, Liechtenstein, Norway, Switzerland",ADDED BOTH. First as SYN and second as ELEM.
EHPR,environment and health performance review,ADDED BOTH. First as SYN and second as ELEM.
EIA,environmental impact assessment,NO ACTION. Both already exists.
EICTA,European Information & Communications Technology Industry Association,ADDED BOTH. First as SYN and second as ELEM.
Eionet,European environment information and observation network,NO ACTION. Both already exists.
EIPRO,environmental impact of products,ADDED BOTH. First as SYN and second as ELEM.
ELOISE,European Land-Ocean Interaction Studies,ADDED BOTH. First as SYN and second as ELEM.
EMAS,Eco-Management and Audit Scheme,NO ACTION (SYN case): SECOND ADDED first alredy exists. If first is SYN the coresponding ELEM exists so the second will not be added.
EM-DAT,Emergency Disasters Data Base,ADDED BOTH. First as SYN and second as ELEM.
EMEP,Co-operative programme for the monitoring and evaluation of the long-range transmission of air pollutants in Europe (European monitoring and evaluation programme),SECOND ADDED first alredy exists. If first is SYN the coresponding ELEM exists so the second will not be added.
EMS,European marine strategy,ADDED BOTH. First as SYN and second as ELEM.
ENEA,European network of environmental authorities,ADDED BOTH. First as SYN and second as ELEM.
